Mode,Time(s),Value
ohm2W,86.1888580322,33391.7830
ohm2W,86.4005584717,33385.9146
ohm2W,86.6006317139,33383.3995
ohm2W,86.8006668091,33380.8546
ohm2W,87.0006713867,33378.7587
ohm2W,87.2007064819,33376.4832
ohm2W,87.4007186890,33373.7585
ohm2W,87.6007690430,33370.5848
ohm2W,87.8007965088,33367.2913
ohm2W,88.0010757446,33362.9798
ohm2W,88.2008819580,33357.2910
ohm2W,88.4009780884,33351.0034
ohm2W,88.6010513306,33343.7278
ohm2W,88.8010711670,33336.8713
ohm2W,89.0011062622,33331.6915
ohm2W,89.2010192871,33328.0986
ohm2W,89.4010314941,33325.5835
ohm2W,89.6010894775,33324.4158
ohm2W,89.8010864258,33324.5655
ohm2W,90.0011291504,33324.1164
ohm2W,90.2012557983,33322.6793
ohm2W,90.4011993408,33320.8828
ohm2W,90.6045074463,33318.8169
ohm2W,90.8046340942,33316.7809
ohm2W,91.0045700073,33314.8946
ohm2W,91.2047042847,33313.9964
ohm2W,91.4046096802,33314.6251
ohm2W,91.6099624634,33315.0743
ohm2W,91.8047790527,33315.4036
ohm2W,92.0046768188,33315.7629
ohm2W,92.2047424316,33317.4396
ohm2W,92.4048385620,33318.6073
ohm2W,92.6047973633,33320.6732
ohm2W,92.8049545288,33324.0266
ohm2W,93.0065307617,33326.1823
ohm2W,93.2064590454,33329.2064
ohm2W,93.4064712524,33333.0089
ohm2W,93.6064987183,33336.2126
ohm2W,93.8088684082,33339.8055
ohm2W,94.0088882446,33342.6499
ohm2W,94.2089462280,33345.8236
ohm2W,94.4092559814,33348.5483
ohm2W,94.6090240479,33349.9854
ohm2W,94.8124694824,33353.4286
ohm2W,95.0090866089,33356.9916
ohm2W,95.2113189697,33359.6563
ohm2W,95.4113082886,33363.0996
ohm2W,95.6112365723,33366.8122
ohm2W,95.8113861084,33371.0639
ohm2W,96.0113983154,33376.0939
ohm2W,96.2113418579,33381.6031
ohm2W,96.4114532471,33386.9925
ohm2W,96.6113891602,33391.6333
ohm2W,96.8114013672,33396.3340
ohm2W,97.0130767822,33401.0348
ohm2W,97.2129898071,33405.6157
ohm2W,97.4130172729,33409.3284
ohm2W,97.6130828857,33413.3704
ohm2W,97.8130874634,33418.5802
ohm2W,98.0200729370,33422.2330
ohm2W,98.2201461792,33425.1971
ohm2W,98.4201507568,33427.9517
ohm2W,98.6201705933,33431.5147
ohm2W,98.8202056885,33436.2154
ohm2W,99.0202484131,33440.4371
ohm2W,99.2202835083,33443.0719
ohm2W,99.4203338623,33445.4073
ohm2W,99.6203765869,33449.5691
ohm2W,99.8203887939,33454.1201
ohm2W,100.0204315186,33458.3418
ohm2W,100.2205810547,33462.7730
ohm2W,100.4205780029,33467.3540
ohm2W,100.6206054688,33473.1326
ohm2W,100.8205337524,33478.9711
ohm2W,101.0208129883,33484.2407
ohm2W,101.2277069092,33489.1810
ohm2W,101.4276275635,33493.5524
ohm2W,101.6277694702,33497.4447
ohm2W,101.8277816772,33501.9358
ohm2W,102.0277023315,33506.9060
ohm2W,102.2371368408,33511.0978
ohm2W,102.4277725220,33514.3014
ohm2W,102.6277923584,33517.4752
ohm2W,102.8290786743,33520.9483
ohm2W,103.0290145874,33524.7209
ohm2W,103.2368545532,33529.2420
ohm2W,103.4291839600,33533.8529
ohm2W,103.6291122437,33538.3740
ohm2W,103.8291473389,33543.9131
ohm2W,104.0293121338,33549.3923
ohm2W,104.2292251587,33553.9433
ohm2W,104.4292755127,33557.6260
ohm2W,104.6294250488,33560.2309
ohm2W,104.8293304443,33562.7160
ohm2W,105.0293731689,33566.9377
ohm2W,105.2294082642,33572.7163
ohm2W,105.4399795532,33579.0338
ohm2W,105.6308975220,33583.1657
ohm2W,105.8308258057,33585.8604
ohm2W,106.0309448242,33588.4952
ohm2W,106.2309646606,33591.1599
ohm2W,106.4308547974,33594.3037
ohm2W,106.6308975220,33596.4295
ohm2W,106.8309326172,33597.7769
ohm2W,107.0309600830,33601.4596
ohm2W,107.2312622070,33602.4177
ohm2W,107.4311523438,33605.2621
ohm2W,107.6311798096,33611.1904
ohm2W,107.8311767578,33613.6456
ohm2W,108.0312194824,33614.7833
ohm2W,108.2311630249,33616.8493
ohm2W,108.4311523438,33618.0469
ohm2W,108.6329040527,33619.4242
ohm2W,108.8328399658,33621.1308
ohm2W,109.0328445435,33623.1369
ohm2W,109.2329788208,33624.7537
ohm2W,109.4328994751,33627.1489
